,EPIC,CAMPAIGN_x,Prot,err_Prot,PMETHOD,PFLAG,Rper(%),err_Rper,SPH(ppm),Sflat(ppm),N_Flares,Nflare/day,CAMPAIGN_y,KP(mag),Abs_Mk,e_Abs_Mk,Radius(Rsun),e_Radius(Rsun),Mass(Msun),e_Mass(Sun),Teff(K),e_Teff(K),log(Luminosity(Lsun)),err_log(Luminosity(Lsun)),dist(pc),e_dist(pc),SpT
361,220308656,C8,0.718,0.027,LS,Y,3.144,0.226,18768.14,2054.82,7,0.091,C8,"12,54","6,08","0,13","0,43","0,02",0.45,"0,02",3465,86,"-1,59","0,05","38,6","2,3",M2.5
28,246043232,C12,90.667,---,SINE,?,1.269,0.652,4310.94,104.97,3,0.038,C12,"11,67","6,13","0,32","0,43","0,05",0.44,"0,05",3502,113,"-1,61","0,13","32,1","4,7",M2.5
30,248042336,C13,87.64,---,SINE,?,1.07,0.393,3234.05,79.1,0,---,C13,"11,81","6,16","0,05","0,42","0,01",0.44,"0,01",3435,83,"-1,63","0,02","26,9","0,7",M2.5
58,248826058,C14,59.453,0.225,LS,?,1.161,0.54,3762.75,118.5,0,---,C14,"12,31","6,15","0,05","0,42","0,01",0.44,"0,01",3437,80,"-1,62","0,03","34,1","0,9",M2.5
71,206490189,C3,48.014,1.767,ACF,?,1.211,0.051,4142.23,81.41,2,0.03,C3,"12,52","6,14","0,05","0,42","0,01",0.44,"0,01",3471,81,"-1,62","0,02","27,7","0,8",M2.5
114,224945540,C11,37.799,1.273,ACF,?,0.673,0.519,1941.81,108.37,1,0.014,C11,"13,37","6,15","0,05","0,42","0,01",0.44,"0,01",3453,81,"-1,62","0,02","40,2",1,M2.5
155,201705990,C14,29.754,0.13,LS,Y,1.424,0.07,4243.25,104.49,11,0.141,C14,"12,04","6,14","0,12","0,42","0,02",0.44,"0,02",3496,91,"-1,62","0,05","28,6","1,6",M2.5
67,212093841,C16,51.976,2.13,LS,?,0.449,0.289,1344.17,77.74,0,---,C16,"12,02","6,18","0,16","0,42","0,03",0.43,"0,03",3490,91,"-1,64","0,07","29,8","2,2",M2.5
75,211642294,C18,47.301,1.083,LS,?,1.469,0.214,4890.63,55.14,11,0.224,C18,"10,79","6,2","0,09","0,41","0,02",0.43,"0,02",3422,88,"-1,65","0,04","16,7","0,7",M2.5
97,201912552,C1,40.802,0.859,ACF,Y,1.215,0.087,3995.5,145.65,0,---,C1,"12,47","6,24","0,09","0,41","0,02",0.43,"0,02",3471,85,"-1,66","0,04","34,1","1,5",M3.0
122,232097582,C11,35.995,0.71,LS,Y,0.459,0.032,1419.21,46.82,1,0.014,C11,"11,15","6,18","0,21","0,42","0,03",0.43,"0,03",3486,98,"-1,64","0,08","23,3","2,2",M2.5
172,212318785,C6,27.532,1.912,LS,?,1.666,0.647,4542.11,129.28,2,0.025,C6,"12,56","6,2","0,08","0,41","0,02",0.43,"0,01",3502,81,"-1,65","0,03","36,3","1,3",M2.5
178,212810669,C6,26.939,0.344,LS,Y,1.418,0.061,4405.41,147.85,6,0.076,C17,"12,54","6,24","0,08","0,41","0,02",0.43,"0,02",3445,84,"-1,66","0,04","35,9","1,5",M3.0
179,212810669,C17,25.721,0.081,LS,Y,1.35,0.6,4551.57,129.93,6,0.092,C17,"12,54","6,24","0,08","0,41","0,02",0.43,"0,02",3445,84,"-1,66","0,04","35,9","1,5",M3.0
340,246625561,C13,2.215,0.041,LS,?,9.668,3.023,29923.52,3480.72,5,0.063,C13,"12,11","6,22","0,15","0,41","0,02",0.43,"0,02",3526,89,"-1,65","0,06","27,7","1,9",M3.0
18,246807434,C13,107.122,---,SINE,?,0.99,0.046,3360.5,79.69,0,---,C13,"12,17","6,3","0,05","0,4","0,01",0.42,"0,01",3397,80,"-1,69","0,02","29,1","0,7",M3.0
40,228857363,C10,77.3,---,SINE,?,0.586,0.133,2646.82,72.93,3,0.043,C10,"11,68","6,26","0,06","0,41","0,01",0.42,"0,01",3388,81,"-1,67","0,03","31,7","0,9",M3.0
76,251550724,C17,46.965,0.134,LS,?,1.178,0.048,3677.56,40.36,7,0.107,C17,"10,16","6,26","0,05","0,41","0,01",0.42,"0,01",3448,86,"-1,67","0,03","11,8","0,3",M3.0
134,212681560,C6,33.869,0.828,LS,Y,0.644,0.089,2392.9,78.12,1,0.013,C17,"11,91","6,27","0,05","0,4","0,01",0.42,"0,01",3443,83,"-1,68","0,03","26,7","0,7",M3.0
135,212681560,C17,33.686,0.514,LS,?,1.018,0.349,3635.25,83.06,5,0.076,C17,"11,91","6,27","0,05","0,4","0,01",0.42,"0,01",3443,83,"-1,68","0,03","26,7","0,7",M3.0
176,246253313,C12,27.25,0.228,LS,?,2.797,1.084,7119.26,175.3,6,0.076,C12,"12,82","6,29","0,12","0,4","0,02",0.42,"0,02",3477,83,"-1,69","0,05","33,9","1,8",M3.0
334,246774176,C13,2.541,0.005,LS,Y,1.671,10.21,4897.84,1193.52,16,0.201,C13,"11,49","6,26","0,05","0,41","0,01",0.42,"0,01",3395,83,"-1,67","0,02","21,9","0,5",M3.0
335,247592661,C13,2.498,0.103,LS,Y,6.717,6.602,22203.97,2012.33,7,0.088,C13,"11,94","6,29","0,05","0,4","0,01",0.42,"0,01",3488,81,"-1,68","0,02","26,2","0,6",M3.0
347,210721261,C13,1.54,0.014,LS,Y,20.061,3.74,64257.52,6736.44,1,0.013,C13,"12,35","6,24","0,09","0,41","0,02",0.42,"0,02",3467,81,"-1,66","0,04","30,8","1,3",M3.0
364,248473036,C14,0.708,0,LS,Y,2.977,0.379,8774.53,1790.97,4,0.051,C14,"12,55","6,25","0,05","0,41","0,01",0.42,"0,01",3455,81,"-1,67","0,03",35,"0,9",M3.0
45,212734783,C17,73.819,---,SINE,?,0.826,0.085,2630.61,67.52,0,---,C17,"11,6","6,34","0,13","0,4","0,02",0.41,"0,02",3415,87,"-1,71","0,05",21,"1,3",M3.0
169,206249569,C3,27.661,0.826,LS,Y,0.434,0.031,1295.4,102.14,1,0.015,C3,"12,6","6,34","0,05","0,39","0,01",0.41,"0,01",3407,81,"-1,71","0,02","32,7","0,8",M3.0
194,210434433,C4,23.278,0.638,LS,Y,0.996,0.26,6318.15,86.83,3,0.044,C4,"12,14","6,36","0,06","0,39","0,01",0.41,"0,01",3447,82,"-1,71","0,03","25,1","0,8",M3.0
346,247122957,C13,1.546,0.008,LS,Y,8.959,2.013,21079.3,2549.57,6,0.075,C13,"12,62","6,34","0,05","0,39","0,01",0.41,"0,01",3444,81,"-1,71","0,03","32,7","0,9",M3.0
44,201323410,C1,73.86,1.59,SINE,?,0.956,0.14,3192.96,104.11,2,0.025,C1,"12,34","6,39","0,06","0,39","0,01",0.4,"0,01",3412,80,"-1,73","0,03","28,8","0,9",M3.0
66,251583820,C17,52.926,0.256,LS,?,0.6,0.128,2009.39,137.12,0,---,C17,"12,44","6,42","0,08","0,38","0,02",0.4,"0,01",3400,81,"-1,74","0,03","29,6","1,1",M3.0
143,212610229,C17,31.561,0.182,LS,Y,0.679,0.679,2081.54,104.36,0,---,C17,"11,75","6,38","0,06","0,39","0,01",0.4,"0,01",3394,81,"-1,72","0,03","30,9","0,9",M3.0
297,206262223,C3,9.725,0.015,ACF,Y,4.362,7.527,14531.49,1120.8,17,0.254,C3,"12,03","6,39","0,07","0,39","0,01",0.4,"0,01",3430,84,"-1,73","0,03","26,8","0,9",M3.0
323,249680584,C15,3.897,0.015,LS,Y,1.641,0.361,4787.26,521.88,7,0.081,C15,"12,62","6,42","0,06","0,38","0,01",0.4,"0,01",3352,83,"-1,74","0,03","34,4","1,1",M3.0
362,206208968,C3,0.71,0.009,LS,Y,0.93,0.184,7936.11,1591.88,6,0.09,C3,"10,78","6,4","0,08","0,39","0,02",0.4,"0,01",3400,81,"-1,73","0,04",18,"0,7",M3.0
27,211183696,C4,94.86,---,SINE,?,2.797,0.123,10401.35,137.25,3,0.044,C4,"11,56","6,49","0,15","0,38","0,02",0.39,"0,02",3421,85,"-1,77","0,06","18,5","1,2",M3.0
72,226240066,C11,47.953,0.844,ACF,?,1.528,0.576,2622.69,118.29,2,0.028,C11,"12,54","6,48","0,05","0,38","0,01",0.39,"0,01",3379,80,"-1,77","0,03","31,5","0,8",M3.0
73,212405060,C6,47.325,0.403,LS,?,0.989,0.049,5225.51,89.82,2,0.025,C17,"12,5","6,45","0,06","0,38","0,01",0.39,"0,01",3427,80,"-1,75","0,03",29,"0,9",M3.0
74,212405060,C17,46.961,1.196,ACF,?,2.317,0.101,6961.73,164.21,1,0.015,C17,"12,5","6,45","0,06","0,38","0,01",0.39,"0,01",3427,80,"-1,75","0,03",29,"0,9",M3.0
96,201597919,C1,40.847,0.905,LS,Y,0.5,0.125,1755.07,102.96,4,0.05,C1,"12,62","6,47","0,05","0,38","0,01",0.39,"0,01",3389,80,"-1,76","0,03","31,4","0,8",M3.0
164,246179278,C12,28.491,0.157,LS,Y,5.351,1.885,15660.02,107.42,9,0.114,C19,"12,52","6,48","0,09","0,38","0,02",0.39,"0,02",3418,81,"-1,77","0,04","28,8","1,2",M3.0
311,247289039,C13,5.95,0.039,LS,Y,2.04,0.423,6379.93,711.76,26,0.327,C13,"12,73","6,47","0,09","0,38","0,02",0.39,"0,02",3417,81,"-1,76","0,04","25,6","1,1",M3.0
318,212162615,C16,4.138,0.013,SINE,Y,6.875,18.529,20911.89,2704.29,6,0.077,C18,"12,61","6,47","0,06","0,38","0,01",0.39,"0,01",3451,80,"-1,76","0,03","28,2","0,9",M3.0
319,212162615,C18,4.123,0.011,LS,Y,6.417,0.687,19592.82,1699.92,9,0.183,C18,"12,61","6,47","0,06","0,38","0,01",0.39,"0,01",3451,80,"-1,76","0,03","28,2","0,9",M3.0
320,212162615,C5,4.122,0.002,LS,Y,3.754,0.33,13741.3,897.37,16,0.217,C18,"12,61","6,47","0,06","0,38","0,01",0.39,"0,01",3451,80,"-1,76","0,03","28,2","0,9",M3.0
322,249677429,C15,3.927,0.029,LS,Y,5.25,1.04,15507.49,855.78,15,0.173,C15,"12,15","6,48","0,06","0,38","0,01",0.39,"0,01",3436,83,"-1,77","0,03",25,"0,7",M3.0
13,236285338,C11,119.276,---,SINE,?,0.472,0.102,1591.39,171.89,0,---,C11,"12,35","6,5","0,06","0,37","0,01",0.38,"0,01",3392,82,"-1,78","0,03",27,"0,8",M3.0
43,251282832,C16,74.879,1.029,SINE,?,0.71,0.292,2491.22,122.99,2,0.026,C16,"12,47","6,54","0,06","0,37","0,01",0.38,"0,01",3404,83,"-1,79","0,03","27,5","0,8",M3.0
59,203740889,C2,59.156,2.044,LS,?,0.825,0.139,3307.29,144.12,0,---,C2,"12,51","6,53","0,27","0,37","0,04",0.38,"0,04",3379,100,"-1,79","0,11","23,9","2,9",M3.0
85,201659529,C10,43.725,1.153,LS,?,0.562,0.507,5995.18,114.75,5,0.072,C10,"12,13","6,57","0,05","0,36","0,01",0.38,"0,01",3355,80,"-1,81","0,03","23,5","0,6",M3.5
86,214787262,C7,43.307,0.352,LS,?,1.395,0.081,4673.74,103.35,5,0.061,C7,"12,53","6,54","0,05","0,37","0,01",0.38,"0,01",3382,80,"-1,8","0,02",29,"0,7",M3.0
180,210317378,C4,26.909,0.202,ACF,Y,1.857,0.124,5941.14,212.48,4,0.058,C4,"12,72","6,52","0,08","0,37","0,01",0.38,"0,01",3404,82,"-1,78","0,03","31,5","1,1",M3.0
227,247449449,C13,19.18,0.254,LS,Y,2.054,4.267,6232.58,200.39,13,0.163,C13,"12,36","6,55","0,14","0,37","0,02",0.38,"0,02",3418,86,"-1,8","0,06","26,5","1,7",M3.5
353,212611828,C6,1.096,0,LS,Y,2.414,0.388,5698.53,1533.65,19,0.242,C17,"12,85","6,56","0,09","0,37","0,02",0.38,"0,02",3343,84,"-1,8","0,04","32,4","1,5",M3.5
354,212611828,C17,1.094,0.041,LS,Y,4.666,1.161,15054.56,1756.26,8,0.122,C17,"12,85","6,56","0,09","0,37","0,02",0.38,"0,02",3343,84,"-1,8","0,04","32,4","1,5",M3.5
12,202748218,C2,120.61,---,SINE,?,1.134,0.243,2787.07,163.95,0,---,C2,"11,81","6,63","0,09","0,36","0,02",0.37,"0,01",3340,83,"-1,83","0,04","19,8","0,9",M3.5
57,228711280,C10,60.7,6.07,LS,?,0.657,0.054,2579.52,135.21,0,---,C10,"12,76","6,62","0,21","0,36","0,03",0.37,"0,03",3375,91,"-1,83","0,08","30,5","2,9",M3.5
310,246818597,C13,6.518,0.62,ACF,?,1.343,0.524,4009.26,61.62,4,0.05,C13,"8,29","6,57","0,27","0,36","0,04",0.37,"0,04",3330,188,"-1,81","0,11","3,4","0,4",M3.5
83,247080522,C13,44.333,4.433,LS,?,1.626,0.167,5239.93,103.66,2,0.025,C13,"12,53","6,64","0,05","0,35","0,01",0.36,"0,01",3333,80,"-1,84","0,03","27,4","0,7",M3.5
358,210840804,C13,0.849,0,SINE,?,2.978,3.87,8276.73,776.85,18,0.226,C13,"12,91","6,65","0,12","0,35","0,02",0.36,"0,02",3424,83,"-1,84","0,05","30,4","1,7",M3.5
22,211945363,C16,98.692,---,SINE,?,4.109,0.138,15959.69,89.61,10,0.128,C18,"12,35","6,73","0,06","0,34","0,01",0.35,"0,01",3334,81,"-1,88","0,03","23,7","0,7",M3.5
23,211945363,C5,71.743,1.61,LS,?,1.125,0.057,3942.24,81.37,4,0.054,C18,"12,35","6,73","0,06","0,34","0,01",0.35,"0,01",3334,81,"-1,88","0,03","23,7","0,7",M3.5
24,211945363,C18,44.763,2.472,LS,?,0.84,0.068,2880.12,95.2,4,0.081,C18,"12,35","6,73","0,06","0,34","0,01",0.35,"0,01",3334,81,"-1,88","0,03","23,7","0,7",M3.5
46,202059222,C0,72.16,---,SINE,?,1.272,0.28,4496.08,148.43,0,---,C0,"14,2","6,76","0,05","0,34","0,01",0.35,"0,01",3308,79,"-1,89","0,02","26,3","0,6",M3.5
52,249101965,C15,66.301,1.081,ACF,?,0.952,0.378,2959.16,154.12,1,0.012,C15,"12,52","6,76","0,06","0,34","0,01",0.35,"0,01",3374,85,"-1,89","0,03",25,"0,7",M3.5
60,248775337,C14,58.353,5.835,ACF,?,1.163,0.477,3726.03,98.28,0,---,C14,"12,71","6,73","0,05","0,34","0,01",0.35,"0,01",3303,80,"-1,88","0,03","28,1","0,7",M3.5
69,228901441,C10,49.82,1.247,LS,?,0.354,0.06,4160.6,51.66,3,0.043,C10,"11,64","6,76","0,08","0,34","0,01",0.35,"0,01",3369,84,"-1,89","0,04","16,5","0,7",M3.5
78,247909274,C13,46.823,1.85,LS,?,1.348,0.23,4349.17,114.88,6,0.075,C13,"12,52","6,74","0,05","0,34","0,01",0.35,"0,01",3321,79,"-1,88","0,02","25,9","0,6",M3.5
308,212424143,C17,6.631,0.003,LS,Y,2.09,0.576,7104.03,712.79,6,0.092,C17,"12,01","6,76","0,08","0,34","0,01",0.35,"0,01",3351,87,"-1,89","0,03","19,4","0,7",M3.5
309,212424143,C6,6.603,0.039,LS,Y,1.4,0.861,5546.13,1045.63,13,0.166,C17,"12,01","6,76","0,08","0,34","0,01",0.35,"0,01",3351,87,"-1,89","0,03","19,4","0,7",M3.5
25,248759329,C14,97.473,---,SINE,?,0.887,0.217,3014.7,83.39,4,0.051,C14,"12,36","6,81","0,06","0,33","0,01",0.34,"0,01",3327,82,"-1,91","0,03","22,7","0,7",M3.5
61,211864396,C16,57.925,0.678,SINE,?,1.579,0.046,4972.43,70.36,3,0.039,C16,"11,89","6,81","0,06","0,33","0,01",0.34,"0,01",3345,82,"-1,91","0,03",18,"0,6",M3.5
63,248870284,C14,57.005,2.204,ACF,?,1.382,0.494,4305.31,107.04,4,0.051,C14,"12,34","6,83","0,06","0,33","0,01",0.34,"0,01",3354,80,"-1,92","0,03","22,1","0,7",M3.5
281,210707811,C4,11.774,0.225,LS,Y,2.242,0.99,13538.16,339.43,15,0.219,C4,"12,81","6,82","0,05","0,33","0,01",0.34,"0,01",3325,80,"-1,92","0,02","27,2","0,6",M3.5
290,246226675,C12,11.079,0.172,LS,Y,0.785,5.679,2021.98,470.67,17,0.216,C12,"11,92","6,82","0,08","0,33","0,01",0.34,"0,01",3330,83,"-1,91","0,03","24,7","0,9",M3.5
304,228726301,C10,8.278,0.035,LS,Y,0.317,0.127,2258.41,143.76,6,0.087,C10,"12,86","6,78","0,08","0,34","0,01",0.34,"0,01",3300,82,"-1,9","0,03","29,5","1,1",M3.5
26,231875643,C11,96.314,---,SINE,?,5.415,1.7,8088.91,159.1,1,0.014,C11,"12,38","6,85","0,05","0,33","0,01",0.33,"0,01",3322,81,"-1,93","0,02","22,4","0,5",M3.5
31,211480655,C16,87.141,---,SINE,?,0.809,0.122,2744.72,104.02,1,0.013,C18,"12,21","6,89","0,15","0,32","0,02",0.33,"0,02",3320,88,"-1,95","0,06","19,6","1,3",M4.0
32,211480655,C5,73.861,---,LS,?,1.534,0.101,5647.95,114.93,0,---,C18,"12,21","6,89","0,15","0,32","0,02",0.33,"0,02",3320,88,"-1,95","0,06","19,6","1,3",M4.0
39,212518629,C17,77.541,---,SINE,?,1.71,0.248,5522.34,133.69,1,0.015,C17,"12,46","6,89","0,06","0,32","0,01",0.33,"0,01",3302,80,"-1,95","0,03","22,4","0,7",M4.0
53,228808502,C10,65.465,6.213,LS,?,0.68,0.103,2644.91,81.03,3,0.043,C10,"12,51","6,87","0,1","0,33","0,02",0.33,"0,02",3305,82,"-1,94","0,04","23,3","1,1",M3.5
55,247734588,C13,63.45,0.295,LS,?,0.466,0.197,1545.8,112.09,3,0.038,C13,"13,11","6,88","0,09","0,32","0,01",0.33,"0,01",3302,81,"-1,94","0,04","26,8","1,1",M4.0
363,201917390,C1,0.708,0.001,LS,Y,2.122,0.137,7179.35,1306.98,15,0.187,C1,"12,47","6,9","0,12","0,32","0,02",0.33,"0,02",3308,82,"-1,95","0,05","21,8","1,2",M4.0
327,215632123,C7,2.85,0.021,LS,Y,1.228,0.208,5701.87,765.33,12,0.148,C7,"8,45","6,97","0,05","0,31","0,01",0.32,"0,01",3276,81,"-1,98","0,02","4,8","0,1",M4.0
36,201718613,C1,78.96,0.75,SINE,?,1.083,0.078,3485.26,111.38,7,0.087,C1,"11,41","7,01","0,06","0,31","0,01",0.31,"0,01",3261,89,-2,"0,03","12,7","0,4",M4.0
42,206019392,C3,75.44,---,SINE,?,3.054,0.112,11877.92,43.49,15,0.225,C3,"8,38","7,05","0,06","0,31","0,01",0.31,"0,01",3273,86,"-2,01","0,03","3,9","0,1",M4.0
90,202059195,C0,42.46,---,SINE,?,1.707,0.805,6447.7,161.18,0,---,C0,"14,7",7,"0,1","0,31","0,02",0.31,"0,01",3312,82,"-1,99","0,04",26,"1,2",M4.0
298,206262336,C3,9.705,0.018,ACF,Y,4.368,7.586,14522.43,1122.57,14,0.21,C3,"12,03","7,06","0,06","0,3","0,01",0.31,"0,01",3237,88,"-2,02","0,03","16,6","0,5",M4.0
48,250111823,C15,69.674,0.342,LS,?,1.073,0.116,3605.33,69.56,0,---,C15,"11,51","7,1","0,09","0,3","0,01",0.3,"0,01",3247,84,"-2,04","0,04","12,4","0,5",M4.0
315,246033148,C19,4.662,0.084,LS,?,3.182,0.62,9970.91,1095.1,1,0.139,C19,"12,17","7,14","0,07","0,29","0,01",0.3,"0,01",3269,82,"-2,05","0,03",25,"0,9",M4.0
329,211944676,C18,2.773,0.002,SINE,Y,3.986,3.394,9943.83,1687.1,6,0.122,C18,"9,9","7,11","0,08","0,3","0,01",0.3,"0,01",3282,80,"-2,04","0,03","7,9","0,3",M4.0
331,211944670,C18,2.773,0.015,SINE,Y,3.986,3.815,9964.5,1708.36,6,0.122,C18,"10,55","7,11","0,08","0,3","0,01",0.3,"0,01",3282,80,"-2,04","0,03","7,9","0,3",M4.0
345,204927969,C2,1.553,0,ACF,Y,1.297,0.112,5770.52,1119.94,7,0.09,C2,"11,7","7,14","0,1","0,3","0,01",0.3,"0,01",3257,86,"-2,05","0,04","18,7","0,9",M4.0
64,248637069,C14,56.004,1.402,ACF,?,1.303,0.157,4138.97,43.23,15,0.192,C14,"10,44","7,23","0,08","0,29","0,01",0.29,"0,01",3257,87,"-2,09","0,03","6,7","0,2",M4.5
286,201482319,C1,11.676,0.111,LS,Y,4.829,6.489,17064.27,937.5,21,0.262,C1,"12,11","7,18","0,1","0,29","0,01",0.29,"0,01",3252,91,"-2,07","0,04","15,3","0,8",M4.0
338,220265960,C8,2.315,0.004,LS,Y,0.402,0.639,5341.84,548.95,5,0.065,C8,"12,78","7,2","0,19","0,29","0,02",0.29,"0,02",3252,89,"-2,08","0,08","20,6","1,8",M4.0
341,246364217,C12,1.908,0.109,LS,Y,1.525,1.187,4500.88,932.2,14,0.178,C19,"12,44","7,17","0,05","0,29","0,01",0.29,"0,01",3236,81,"-2,07","0,02","18,4","0,4",M4.0
342,246364217,C19,1.823,0.063,LS,Y,1.211,0.199,3115.41,855.09,2,0.277,C19,"12,44","7,17","0,05","0,29","0,01",0.29,"0,01",3236,81,"-2,07","0,02","18,4","0,4",M4.0
34,201661761,C14,84.097,---,SINE,?,0.534,0.916,1916.39,155.35,0,---,C14,"12,89","7,26","0,1","0,28","0,01",0.28,"0,01",3160,83,"-2,11","0,04","21,3",1,M4.5
38,233488533,C11,78.236,---,SINE,?,7.097,2.642,8103.4,261.18,3,0.041,C11,"12,95","7,29","0,05","0,28","0,01",0.28,"0,01",3233,81,"-2,12","0,02","21,2","0,6",M4.5
62,220215093,C8,57.55,0.254,LS,?,0.69,0.301,2118.81,120.04,8,0.104,C8,"12,35","7,37","0,08","0,27","0,01",0.27,"0,01",3329,84,"-2,15","0,04","15,4","0,6",M4.5
328,204957517,C2,2.823,0.001,LS,Y,1.968,0.412,6937.9,1150.43,10,0.129,C2,"12,47","7,32","0,05","0,27","0,01",0.27,"0,01",3240,83,"-2,13","0,02","16,6","0,5",M4.5
350,201501470,C14,1.304,0.045,LS,Y,9.672,3.21,31145.24,2052.62,7,0.09,C14,"12,61","7,37","0,06","0,27","0,01",0.27,"0,01",3231,87,"-2,16","0,03","16,9","0,5",M4.5
366,202059188,C0,0.691,0,LS,Y,2.525,0.202,10520.91,2504.63,4,0.121,C0,"14,7","7,33","0,09","0,27","0,01",0.27,"0,01",3179,81,"-2,14","0,04","22,1","0,9",M4.5
372,228864582,C10,0.316,0,LS,Y,1.432,0.037,4672.16,2158.84,7,0.101,C10,"12,88","7,34","0,16","0,27","0,02",0.27,"0,02",3197,85,"-2,14","0,07","19,8","1,5",M4.5
333,210434976,C4,2.552,0.002,LS,Y,15.069,6.113,18013.08,3460.55,13,0.19,C4,"12,66","7,45","0,06","0,26","0,01",0.26,"0,01",3264,80,"-2,19","0,03","16,8","0,5",M4.5
351,212422696,C6,1.294,0.012,LS,Y,3.966,0.355,12540.38,2493.95,6,0.076,C6,13,"7,47","0,06","0,26","0,01",0.26,"0,01",3150,81,"-2,2","0,03","20,1","0,6",M4.5
41,220604532,C8,77.048,3.059,LS,?,1.54,0.359,5528.33,164.84,1,0.013,C8,"12,74","7,54","0,07","0,25","0,01",0.25,"0,01",3150,83,"-2,23","0,03","16,5","0,6",M4.5
355,212556566,C6,1.02,0.01,LS,Y,1.411,0.063,9599.9,1512.24,14,0.178,C17,"12,86","7,49","0,06","0,26","0,01",0.25,"0,01",3204,82,"-2,21","0,03","18,4","0,6",M4.5
356,212556566,C17,1.02,0.022,LS,Y,4.565,1.359,13444.99,1752.93,8,0.122,C17,"12,86","7,49","0,06","0,26","0,01",0.25,"0,01",3204,82,"-2,21","0,03","18,4","0,6",M4.5
15,201518346,C1,112.83,---,SINE,?,1.142,0.091,4012.55,83.05,6,0.075,C1,"9,78","7,58","0,07","0,25","0,01",0.24,"0,01",3152,80,"-2,25","0,03","4,1","0,1",M5.0
368,220581451,C8,0.491,0.001,LS,Y,2.347,0.401,17912.05,1848.91,3,0.039,C8,"13,06","7,61","0,05","0,25","0,01",0.24,"0,01",3174,80,"-2,26","0,02","18,1","0,4",M5.0
14,205913009,C3,116.4,---,SINE,?,2.41,0.341,8886.18,143.33,1,0.015,C3,"12,25","7,75","0,06","0,23","0,01",0.23,"0,01",3103,87,"-2,32","0,03","11,8","0,3",M5.0
20,246132735,C12,105.297,---,SINE,?,4.717,0.66,16602.57,124.3,5,0.064,C19,"13,1","7,68","0,05","0,24","0,01",0.23,"0,01",3186,80,"-2,29","0,02","17,6","0,4",M5.0
21,246132735,C19,0.687,0.026,LS,Y,0.131,0.015,369.75,65.5,0,---,C19,"13,1","7,68","0,05","0,24","0,01",0.23,"0,01",3186,80,"-2,29","0,02","17,6","0,4",M5.0
349,205467732,C2,1.321,0.01,LS,Y,0.853,0.215,5478.68,801.89,10,0.129,C2,"12,93","7,85","0,05","0,22","0,01",0.22,"0,01",3095,81,"-2,36","0,02","14,7","0,4",M5.0
371,247309641,C13,0.342,0.002,LS,Y,6.824,1.131,20540.71,8702.2,1,0.013,C13,"13,5","7,93","0,13","0,22","0,01",0.21,"0,01",3094,84,"-2,4","0,05",13,"0,8",M5.5
373,211467243,C16,0.263,0.001,LS,Y,1.583,0.708,4576.92,1936.12,1,0.013,C16,"13,04","8,02","0,09","0,21","0,01",0.2,"0,01",3064,81,"-2,44","0,04","13,7","0,6",M5.5
359,213817346,C7,0.812,0.004,LS,Y,1.108,0.381,8567.76,918.01,15,0.184,C7,"13,34","8,26","0,05","0,19","0,01",0.19,0,3034,81,"-2,54","0,02","12,8","0,3",M6.0
365,248601792,C14,0.692,0,LS,Y,4.015,0.698,12003.81,3744.08,14,0.18,C14,"13,34","8,17","0,08","0,2","0,01",0.19,"0,01",3038,80,"-2,5","0,03","14,3","0,5",M5.5
344,201506654,C10,1.583,0.013,LS,Y,1.952,0.155,8645.71,1417.57,5,0.072,C10,"12,11","8,47","0,07","0,18","0,01",0.17,0,3012,87,"-2,63","0,03","6,5","0,2",M6.0
50,212681564,C17,66.364,---,SINE,?,0.815,0.267,2975.46,83.06,5,0.076,C17,"11,82","8,69","0,31","0,16","0,02",0.16,"0,01",2942,97,"-2,72","0,13","10,3","1,5",M6.5
51,212681564,C6,61.224,0.459,LS,?,0.864,0.28,2875.91,149.31,2,0.025,C17,"11,82","8,69","0,31","0,16","0,02",0.16,"0,01",2942,97,"-2,72","0,13","10,3","1,5",M6.5
33,246333864,C12,86.218,---,SINE,?,2.535,5.487,9744.63,245.26,9,0.114,C19,"11,67","8,98","0,09","0,15","0,01",0.15,0,2956,82,"-2,85","0,04","6,9","0,3",M7.0
182,211736506,C16,26.137,0.063,ACF,?,0.227,0.021,666.34,28.67,0,---,C16,"10,84","9,46","0,26","0,13","0,01",0.15,0,2848,135,"-3,05","0,1","6,1","0,8",M7.5
330,211944856,C18,2.773,0.002,SINE,Y,3.878,3.842,9683.71,1837.1,6,0.122,C18,"11,02","9,25","0,31","0,13","0,01",0.15,"0,01",2869,93,"-2,96","0,13","4,9","0,7",M7.5
